accuracy,compute_energy,communication_energy,total_energy
0.0985,0.1582,0.113757,0.271957
0.6463,0.1988,0.1435505,0.3423505
0.7626,0.20619999999999997,0.15167599999999998,0.35787599999999997
0.8135,0.3045,0.20584600000000003,0.510346
0.8517,0.32639999999999997,0.222097,0.548497
0.8651,0.35269999999999996,0.21938849999999996,0.5720885
0.8751,0.3095,0.2031375,0.5126375
0.8792,0.2784,0.18417799999999998,0.46257799999999993
0.8839,0.34559999999999996,0.2193885,0.5649884999999999
0.8882,0.3696,0.23834799999999998,0.6079479999999999
0.8891,0.3696,0.23834799999999998,0.6079479999999999
0.8944,0.3671999999999999,0.22751399999999997,0.594714
0.8965,0.23279999999999995,0.15709299999999998,0.38989299999999993
0.8979,0.3,0.1923035,0.49230349999999995
0.901,0.33109999999999995,0.211263,0.5423629999999999
0.9018,0.348,0.2302225,0.5782225000000001
0.9039,0.3,0.1923035,0.49230349999999995
0.9053,0.2544,0.1652185,0.41961849999999995
0.9062,0.3696,0.23834799999999998,0.607948
0.9036,0.2784,0.18417799999999998,0.46257799999999993
0.9068,0.32159999999999994,0.200429,0.522029
0.9071,0.3696,0.23834799999999998,0.6079479999999999
0.9084,0.2544,0.1652185,0.41961849999999995
0.9085,0.32639999999999997,0.222097,0.548497
0.9105,0.3455999999999999,0.21938850000000001,0.5649885
0.9106,0.3048,0.21397149999999998,0.5187714999999999
0.9096,0.2808,0.195012,0.4758119999999999
0.912,0.27840000000000004,0.18417799999999998,0.46257799999999993
0.9083,0.3696,0.23834799999999995,0.6079479999999999
0.9097,0.3264,0.222097,0.548497
0.9129,0.2784,0.184178,0.462578
0.9126,0.3,0.1923035,0.49230349999999995
0.912,0.23279999999999998,0.157093,0.38989299999999993
0.9126,0.3455999999999999,0.21938850000000001,0.5649884999999999
0.9139,0.3696,0.23834799999999998,0.6079479999999999
0.9131,0.348,0.23022249999999997,0.5782225
0.9138,0.23279999999999998,0.157093,0.38989299999999993
0.9147,0.3696,0.23834799999999998,0.6079479999999999
0.9126,0.30239999999999995,0.2031375,0.5055375
0.9162,0.1896,0.140842,0.33044199999999996
0.9154,0.36719999999999997,0.227514,0.594714
0.914,0.32159999999999994,0.20042899999999997,0.522029
0.9139,0.324,0.21126299999999998,0.535263
0.916,0.2808,0.195012,0.4758119999999999
0.917,0.34559999999999996,0.2193885,0.5649884999999999
0.9159,0.348,0.2302225,0.5782225
0.9176,0.39119999999999994,0.24647349999999998,0.6376734999999999
0.9147,0.32399999999999995,0.21126299999999998,0.5352629999999999
0.9182,0.30239999999999995,0.2031375,0.5055375
0.9167,0.3455999999999999,0.2193885,0.5649884999999999
0.9175,0.348,0.2302225,0.5782225
0.9177,0.2568,0.1760525,0.4328525
0.9169,0.34319999999999995,0.20855449999999998,0.5517544999999999
0.9176,0.3,0.1923035,0.49230349999999995
0.9177,0.3024,0.2031375,0.5055375
0.918,0.3479999999999999,0.23022249999999997,0.5782225
0.9184,0.3480000000000001,0.23022249999999997,0.5782225
0.9191,0.28079999999999994,0.195012,0.47581199999999996
0.9183,0.2568,0.1760525,0.4328524999999999
0.9184,0.41279999999999994,0.254599,0.667399
0.9164,0.3,0.1923035,0.49230349999999995
0.9204,0.3024,0.20313749999999997,0.5055375
0.9187,0.30239999999999995,0.2031375,0.5055375
0.9189,0.3887999999999999,0.23563949999999997,0.6244395
0.9185,0.36959999999999993,0.23834799999999998,0.6079479999999999
0.9195,0.348,0.23022249999999997,0.5782225
0.9206,0.3024,0.20313749999999997,0.5055375
0.9198,0.3696,0.23834799999999998,0.6079479999999999
0.9193,0.3456,0.2193885,0.5649884999999999
0.9172,0.27840000000000004,0.18417799999999998,0.46257799999999993
0.9198,0.3264000000000001,0.22209699999999996,0.548497
0.9195,0.30479999999999996,0.2139715,0.5187714999999999
0.9197,0.3479999999999999,0.2302225,0.5782225
0.9201,0.36959999999999993,0.238348,0.6079479999999999
0.9199,0.36719999999999997,0.22751399999999997,0.594714
0.92,0.2592,0.18688649999999998,0.44608649999999994
0.9206,0.3911999999999999,0.24647349999999998,0.6376734999999999
0.92,0.3696,0.23834799999999998,0.6079479999999999
0.9206,0.2568,0.1760525,0.4328524999999999
0.9222,0.25439999999999996,0.1652185,0.41961849999999995
0.9196,0.32159999999999994,0.200429,0.522029
0.9204,0.2568,0.1760525,0.4328524999999999
0.9213,0.2784,0.184178,0.46257799999999993
0.9216,0.3216,0.200429,0.522029
0.9204,0.324,0.21126299999999998,0.5352629999999999
0.9205,0.32639999999999997,0.222097,0.548497
0.9219,0.32399999999999995,0.21126299999999998,0.5352629999999999
0.9214,0.39119999999999994,0.24647349999999998,0.6376734999999999
0.9208,0.32159999999999994,0.20042899999999997,0.522029
0.9203,0.32399999999999995,0.21126299999999998,0.5352629999999999
0.9204,0.34800000000000003,0.23022249999999997,0.5782225
0.92,0.30239999999999995,0.2031375,0.5055375
0.9227,0.30239999999999995,0.2031375,0.5055375
0.9219,0.3264,0.222097,0.548497
0.9214,0.34800000000000003,0.23022249999999997,0.5782225
0.9226,0.39119999999999994,0.24647349999999998,0.6376734999999999
0.923,0.3696,0.23834799999999998,0.6079479999999999
0.9226,0.324,0.21126299999999998,0.5352629999999999
0.9217,0.2832,0.20584599999999997,0.4890459999999999
0.9222,0.276,0.173344,0.44934399999999997
